feature_name,address,city,state,side,category,group_class,year_dedicated,year_rededicated,latitude,longitude
Jubal Early Highway,Route 116,NA,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,37.1493402,-79.8721205
Jubal Early Monument,3511 Memorial Avenue,Lynchburg,VA,South,Monument,Monument,1919,NA,37.390079,-79.173287
Kemper Ct.,NA,Sandston,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,37.5223052,-77.3171282
Lancaster County Confederate Monument,Lancaster Courthouse,Lancaster,VA,South,Monument / Courthouse,Monument,1872,NA,37.7700979,-76.4657947
Lee Avenue,NA,Manassas,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.7519929,-77.4784893
Lee Davis High School,7052 Mechanicsville Pk,Mechanicsville,VA,South,School,School,1958,NA,37.6144829,-77.3406143
Lee Hall Elementary School,17346 Warwick Blvd,Newport News,VA,South,School,School,1956,NA,37.1885796,-76.5701904
Lee High School,6540 Franconia Rd,Springfield,VA,South,School,School,1958,NA,38.7798615,-77.1697998
Lee Highway,NA,NA,VA,South,Road / Street / Highway,Highway / Roadway,1922,NA,37.6723663,-79.5079434
Lee Hill Community Center,NA,Fredericksburg,VA,South,Park,Park,NA,NA,38.28475,-77.4793667
Lee Hill Elementary School,3600 Lee Hill School Dr,Fredericksburg,VA,South,School,School,1952,NA,38.2267456,-77.4598846
Lee Jackson Memorial Highway,VA-50,NA,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.9285779,-77.5193195
Lee Oak (Tree),Lee Park,Charlottesville,VA,South,Monument,Monument,1970,NA,38.0318061,-78.4806157
Lee Park,"Jefferson Street, First Street N.E., Market Street and Second Street N.E",Charlottesville,VA,South,Park,Park,1917,NA,38.0318061,-78.4806157
Lee Street,NA,New Market,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.6472184,-78.6763398
Lee Street,NA,Alexandria,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.82824,-77.1365889
Longstreet Lane,NA,Alexandria,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.82824,-77.1365889
Matthew Fomtaine Maury Monument,Monument Avenue,Richmond,VA,South,Monument,Monument,1929,NA,37.56272,-77.474988
Maury Lane,NA,Alexandria,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.82824,-77.1365889
"Memorial to Lt. Col. Richard Snowden Andrews and Men of 1st Maryland Battery, CSA",Emmanuel United Methodist Church. Martinsburg Pike,Stephenson,VA,South,Monument,Monument,1920,NA,39.238672,-78.10832
Monument to Confederate Soldiers of Mecklenburg,Mecklenburg County Courthouse,Boydton,VA,South,Monument / Courthouse,Monument,1908,2002,36.66711,-78.388235
Nickelsville Spartan Band,Keith Memorial Park,Nickelsville,VA,South,Monument,Monument,2000,NA,36.749181,-82.42164
North Carolina Monument,Reams Drive And Halifax Road,Reams,VA,South,Monument,Monument,NA,NA,37.093976,-77.4227
Old Men and Boys Monument,S. Crater Road,Petersburg,VA,South,Monument,Monument,1909,NA,37.20427,-77.382162
Our Confederate Soldier,Mathews County Courthouse. Courthouse Square.,Mathews,VA,South,Monument / Courthouse,Monument,1912,NA,37.4337042,-76.3238887
Page County Confederate Monument,Campbell And Broad,Luray,VA,South,Monument,Monument,1918,NA,38.6645,-78.4599667
Pegram Street,NA,Alexandria,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.82824,-77.1365889
Pickett Ave,NA,Sandston,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,37.5253882,-77.3190719
Pickett Road,NA,Waynesboro,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.0703167,-78.9228688
Powhatan Troop Confederate Memorial,Powhatan County Courthouse,Powhatan,VA,South,Monument / Courthouse,Monument,1999,NA,37.5417736,-77.9181911
Princess Anne County Confederate Heroes,Old Courthouse - City Municipal Center. N. Landing Rd.,Virginia Beach,VA,South,Monument,Monument,1905,NA,36.7541658,-76.1341562
Quantrell Avenue,NA,Alexandria,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.82824,-77.1365889
Reynolds Street,NA,Alexandria,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.82824,-77.1365889
Robert E. Lee Avenue,NA,Waynesboro,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.0703167,-78.9228688
Robert E. Lee Commemorative License Plate,NA,Richmond,VA,South,Commemorative License Plate,Commemorative License Plate,NA,NA,37.5246403,-77.5633014
Robert E. Lee Drive,NA,Natural Bridge Station,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,37.6100445,-79.4954322
Robert E. Lee Drive,NA,Bristow,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.722666,-77.5501466
Robert E. Lee Drive,NA,Hopewell,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,37.258793,-77.3161887
Robert E. Lee Drive,NA,Foster,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,37.3803729,-76.3589332
Robert E. Lee Elementary School,51 Gibbons St,Petersburg,VA,South,School,School,1962,NA,37.2347454,-77.3725274
Robert E. Lee Elementary School,7415 Brock Rd,Spotsylvania,VA,South,School,School,1952,NA,38.2023342,-77.5909524
Robert E. Lee High School,1200 N Coalter St,Staunton,VA,South,School,School,1967,NA,38.1651615,-79.0559408
Robert E. Lee Memorial Bridge,NA,Richmond,VA,South,Bridge,Bridge,1934,NA,37.5297578,-77.4507833
Robert E. Lee Monument,1700 Monument Ave,Richmond,VA,South,Monument,Monument,1890,NA,37.553811,-77.460096
Robert E. Lee RECenter,6601 Telgraph Road,Alexandria,VA,South,Building,Other,NA,NA,38.7737629,-77.1068901
Robert E. Lee Road,NA,Powhatan,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,37.5973148,-77.82024
Robert Edward Lee Sculpture,2nd Street And East Jefferson Street,Charlottesville,VA,South,Monument,Monument,1924,NA,38.0318061,-78.4806157
Rosser Street,NA,Alexandria,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.82824,-77.1365889
Sons of Confederate Veterans Commemorative License Plate,NA,Richmond,VA,South,Commemorative License Plate,Commemorative License Plate,NA,NA,37.5246403,-77.5633014
Stonewall Elementary School,3165 Martinsburg Pk,Clear Brook,VA,South,School,School,1960,NA,39.2498322,-78.1029816
Stonewall Jackson Boulevard,NA,Staunton,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.1948724,-79.0257403
Stonewall Jackson Elementary School,2045 Euclid Ave,Bristol,VA,South,School,School,1948,NA,36.5975156,-82.2064058
Stonewall Jackson High School,8820 Rixlew Ln,Manassas,VA,South,School,School,1973,NA,38.76765,-77.5063656
Stonewall Jackson High School,150 Stonewall Ln,Quicksburg,VA,South,School,School,1959,NA,38.7052803,-78.6639786
Stonewall Jackson Highway,U.S. Route 340,NA,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.8813367,-78.248641
Stonewall Jackson Middle School,8021 Lee Davis Rd,Mechanicsville,VA,South,School,School,1969,NA,37.6179924,-77.3408737
Stonewall Jackson Middle School,1004 Montrose Ave Se,Roanoke,VA,South,School,School,1923,NA,37.2657242,-79.9266586
Stonewall Jackson Monument,1700 Monument Ave,Richmond,VA,South,Monument,Monument,1875,NA,37.539263,-77.433128
Stonewall Jackson Monument and Arch,Virginia Military Institute,Lexington,VA,South,Monument,Monument,NA,NA,37.7902702,-79.4357622
Stonewall Jackson Road,NA,Woodford,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.1402791,-77.4446897
Stonewall Jackson Statue,Jackson,Charlottesville,VA,South,Monument,Monument,1921,NA,38.031687,-78.4782136
Stonewall Jackson Volunteer Fire & Rescue Department,7814 Garner Drive,Manassas,VA,South,Fire Station,Other,1969,NA,38.786677,-77.5082009
Stonewall Middle School,10100 Lomond Dr,Manassas,VA,South,School,School,NA,NA,38.7853241,-77.5000687
Stonewall Street,NA,New Market,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.6430505,-78.6789798
Stuart Elementary School,314 Staples Ave,Stuart,VA,South,School,School,1938,NA,36.6431963,-80.275491
Stuart Street,NA,New Market,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.645893,-78.6771899
The Heights at Smith Run,Cowan Boulevard And Smith Run Walking Trail,Fredericksburg,VA,South,Monument,Monument,2014,NA,38.306741,-77.4936566
This Rustic Pile,George Collin Parkway,New Market,VA,South,Monument,Monument,1909,NA,38.66405,-78.6671
Thomas R.R. Cobb Monument and Marker,Sunken Rd.,Fredericksburg,VA,South,Monument,Monument,1888,NA,38.29535,-77.4683833
To Our Soldiers of the Confederacy,King William Courthouse,King William,VA,South,Monument / Courthouse,Monument,1903,NA,37.6880556,-77.0133333
To The Memory of A.P. Hill,Boydton Plank Road (Us 1) And Duncan Road,Petersburg,VA,South,Monument,Monument,NA,NA,37.189415,-77.475363
Van Dorn Street,NA,Alexandria,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.82824,-77.1365889
Virginia Defenders of State Sovereignty Confederate Soldier,Randolph St. And High St.,Farmville,VA,South,Monument,Monument,1900,NA,37.30169,-78.395663
Washington-Lee Elementary School,Washington Lee Dr,Bristol,VA,South,School,School,1968,NA,36.6114998,-82.1779175
Westmoreland County Confederate Monument,Westmoreland Courthouse,Montross,VA,South,Monument / Courthouse,Monument,1876,NA,38.0954214,-76.8285523
Wheeler Avenue,NA,Alexandria,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.82824,-77.1365889
Wilcox's Alabama Brigade,Watt House Road,Mechanicsville,VA,South,Monument,Monument,1999,NA,37.573,-77.296
Williams Carter Wickham Monument,"Monroe Park (West Side, N. Laurel St.)",Richmond,VA,South,Monument,Monument,1891,NA,37.547203,-77.450936
Williamsburg Confederate Monument,Williamsburg-James City County Courthouse,Williamsburg,VA,South,Monument / Courthouse,Monument,1908,NA,37.2674833,-76.7049
Wilson Way,NA,Sandston,VA,South,Road / Street / Highway,Highway / Roadway,NA,NA,37.5188805,-77.3166421
Robert E. Lee Elementary School,1455 North Baker Ave,East Wenatchee,WA,Not a State,School,School,NA,NA,47.4268684,-120.2909775
Beauregard Boulevard,NA,Charles Town,WV,South,Road / Street / Highway,Highway / Roadway,NA,NA,39.3023931,-77.8329233
Beauregard Street,NA,Charleston,WV,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.3439195,-81.6253319
Confederate Monument,Washington Street Library Grounds. Courtny Drive & Washington Street,Lewisburg,WV,South,Monument,Monument,1906,NA,37.8031159,-80.4504827
Confederate Soldier Monument,Mingo Flats Rd.,Mingo,WV,South,Monument,Monument,1913,2013,38.4787079,-80.0494789
Confederate Soldier Monument,Parkersburg City Park. Park Ave. & 19Th St.,Parkersburg,WV,South,Monument,Monument,1908,NA,39.270305,-81.531752
Confederate Soldier Monument,Across From County Courthouse. Union St. & James St & Park Ave. & First Ave.,Hinton,WV,South,Monument / Courthouse,Monument,1914,NA,37.672249,-80.89124
General Lee Street,NA,Craigsville,WV,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.3390738,-80.6768382
Hayward Shepherd,"Stephenson Hotel building, Potomac Street And Shenandoah Street",Harpers Ferry,WV,South,Monument,Monument,1931,NA,39.32331372,-77.73008466
Jackson Street,NA,Charleston,WV,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.3439195,-81.6253319
Lee Street,NA,Charleston,WV,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.3439195,-81.6253319
Lee Way,NA,Charles Town,WV,South,Road / Street / Highway,Highway / Roadway,NA,NA,39.3023931,-77.8329233
Monroe County Confederate Soldier,Highway 219,Union,WV,South,Monument,Monument,1901,NA,37.595605,-80.544006
Robert E Lee Avenue,NA,Elkins,WV,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.9287541,-79.8642097
Stonewall Jackson Bust,West Virginia State Capitol,Charleston,WV,South,Monument,Monument,1959,NA,38.3359333,-81.6123833
Stonewall Jackson Highway,NA,Flatwoods,WV,South,Road / Street / Highway,Highway / Roadway,NA,NA,38.7185662,-80.6586687
Stonewall Jackson Lake State Park,1012 Skin Creek Road,Weston,WV,South,Park,Park,1990,NA,38.9493986,-80.4926786
Stonewall Jackson Statue,State Capitol,Charleston,WV,South,Monument,Monument,1910,NA,38.33545,-81.6112833
